time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-03-31T18:34:26.000Z,63.2661,-150.6707,125.3,1,Ml,,,,0.33,ak,ak10686291,2013-04-03T16:01:13.584Z,"87km W of Cantwell, Alaska",earthquake
2013-03-31T18:27:17.100Z,37.4777,-121.822,7.2,1.6,Md,,61.2,0.03593261,0.1,nc,nc71963950,2013-04-06T04:23:09.557Z,"9km NE of Milpitas, California",earthquake
2013-03-31T18:22:59.200Z,35.3722,-117.8173,4.6,1.2,Ml,25,72,0.10779783,0.12,ci,ci11276410,2013-04-01T19:44:44.381Z,"30km S of China Lake Acres, California",earthquake
2013-03-31T18:09:31.000Z,63.2669,-150.7419,125.8,1.1,Ml,,,,0.34,ak,ak10686289,2013-04-03T16:01:13.573Z,"90km W of Cantwell, Alaska",earthquake
2013-03-31T17:58:52.100Z,34.1957,-116.934,9,1.1,Ml,39,46.8,0.06288207,0.13,ci,ci11276402,2013-04-01T19:42:34.122Z,"5km SSW of Big Bear Lake, California",earthquake
2013-03-31T17:58:02.000Z,62.5294,-151.4111,91.2,1.5,Ml,,,,0.45,ak,ak10684609,2013-04-03T16:00:57.802Z,"71km WNW of Talkeetna, Alaska",earthquake
2013-03-31T17:56:48.100Z,33.4937,-116.4518,10.4,1.1,Ml,25,129.6,0.03593261,0.16,ci,ci11276394,2013-04-01T19:41:27.951Z,"21km ESE of Anza, California",earthquake
2013-03-31T17:45:44.000Z,54.9213,-163.4997,153.1,3.1,Ml,,,,0.53,ak,ak10684599,2013-04-03T16:01:03.025Z,"9km NW of False Pass, Alaska",earthquake
2013-03-31T17:41:08.600Z,44.8057,-110.9995,11.3,3.2,Ml,,68.4,0.04491576,0.15,uu,uu60017492,2013-06-10T21:47:40.725Z,"17km NNE of West Yellowstone, Montana",earthquake
2013-03-31T17:29:57.000Z,60.9314,-150.8887,14.8,1.3,Ml,,,,0.52,ak,ak10684593,2013-04-03T16:00:57.712Z,"34km NE of Nikiski, Alaska",earthquake
2013-03-31T17:27:15.200Z,36.9363,-121.4325,6.2,1.2,Md,,43.2,0.05389892,0.08,nc,nc71963935,2013-04-05T05:39:07.731Z,"9km NNW of Hollister, California",earthquake
2013-03-31T17:25:41.100Z,45.8668,-120.1327,15.1,1.6,Md,,64.8,0.05389892,0.11,uw,uw60513452,2013-04-01T17:19:22.841Z,"33km W of Boardman, Oregon",earthquake
2013-03-31T17:12:06.000Z,63.1163,-144.4354,0.6,1.1,Ml,,,,0.4,ak,ak10684589,2013-04-03T16:00:57.702Z,"76km WSW of Tok, Alaska",earthquake
2013-03-31T17:08:09.410Z,-65.6041,-177.8521,9.99,5.6,Mwb,38,42,13.13,1.12,us,usb000fx1s,2013-09-23T20:05:12.000Z,"223km NNE of Scott Island Bank, Antarctica",earthquake
2013-03-31T17:05:08.800Z,33.2467,-116.3045,10.7,1.1,Ml,36,82.8,0.09881468,0.2,ci,ci11276378,2013-04-01T19:38:12.552Z,"6km E of Borrego Springs, California",earthquake
2013-03-31T17:02:40.000Z,62.09,-145.3175,16.9,1.4,Ml,,,,0.97,ak,ak10684585,2013-04-03T16:00:57.688Z,"12km E of Glennallen, Alaska",earthquake
2013-03-31T16:54:58.000Z,61.5308,-150.8016,57.9,1.2,Ml,,,,0.56,ak,ak10686281,2013-04-03T16:01:13.560Z,"45km W of Big Lake, Alaska",earthquake
2013-03-31T16:36:56.100Z,36.7601,-89.5157,4.5,2.1,Md,18,54,0.03593261,0.08,nm,nm033113b,2013-03-31T17:57:41.177Z,"11km W of East Prairie, Missouri",earthquake
2013-03-31T16:34:55.400Z,31.9902,-116.258,7,2.4,Ml,16,165.6,0.26051143,0.35,ci,ci11276354,2013-04-01T19:12:51.470Z,"36km ENE of Ensenada, Mexico",earthquake
2013-03-31T16:28:08.400Z,35.908,24.336,100.8,4.1,Mb,79,75.6,0.50934477,0.87,us,us2013nkas,2013-06-10T21:47:42.189Z,"44km NNE of Mouzouras, Greece",earthquake
2013-03-31T16:18:26.600Z,36.1185,-120.6897,5.4,1.6,Md,,57.6,0.02694946,0.11,nc,nc71963915,2013-04-05T02:08:09.944Z,"29km W of Coalinga, California",earthquake
2013-03-31T16:17:25.500Z,35.568,-118.5327,1.9,1.5,Ml,23,64.8,0.10779783,0.15,ci,ci11276346,2013-04-01T19:06:15.673Z,"4km WSW of Bodfish, California",earthquake
2013-03-31T16:07:37.000Z,61.2135,-150.443,17.8,1.2,Ml,,,,0.88,ak,ak10684568,2013-04-03T16:00:57.733Z,"29km W of Anchorage, Alaska",earthquake
2013-03-31T16:04:30.000Z,51.5757,-178.4291,4.8,2.4,Ml,,,,0.55,ak,ak10684555,2013-04-03T16:00:59.832Z,"39km SSW of Tanaga Volcano, Alaska",earthquake
2013-03-31T16:02:11.700Z,33.2455,-116.31,13.1,1.4,Ml,44,50.4,0.08983153,0.19,ci,ci11276330,2013-04-01T19:04:55.517Z,"6km E of Borrego Springs, California",earthquake
2013-03-31T15:57:54.800Z,34.0072,-117.1787,4.1,1,Ml,36,46.8,0.06288207,0.17,ci,ci11276322,2013-04-01T18:57:39.638Z,"5km S of Redlands, California",earthquake
2013-03-31T15:57:05.200Z,18.2483,-65.4394,12,2.4,Md,7,151.2,0.15900181,0.03,pr,pr13090001,2013-03-31T17:19:33.342Z,"11km N of Vieques, Puerto Rico",earthquake
2013-03-31T15:32:46.000Z,54.0144,-163.2035,14.7,2.5,Ml,,,,0.44,ak,ak10684545,2013-04-03T16:01:02.994Z,"94km S of False Pass, Alaska",earthquake
2013-03-31T15:23:18.000Z,63.1051,-151.0096,128.3,1.1,Ml,,,,0.27,ak,ak10684544,2013-04-03T16:01:08.366Z,"98km NNW of Talkeetna, Alaska",earthquake
2013-03-31T14:57:13.000Z,63.6579,-149.7061,126,1,Ml,,,,0.2,ak,ak10686275,2013-04-03T16:01:11.523Z,"42km WSW of Healy, Alaska",earthquake
2013-03-31T14:51:23.100Z,33.5018,-116.4357,9.7,1,Ml,29,108,0.02694946,0.18,ci,ci11276298,2013-04-01T18:49:33.650Z,"21km SSW of La Quinta, California",earthquake
2013-03-31T14:50:14.300Z,39.6172,-120.0113,4.5,1,Md,,180,0.04491576,0.05,nc,nc71963865,2013-04-04T18:38:41.483Z,"7km SSW of Cold Springs, Nevada",earthquake
2013-03-31T14:28:29.000Z,44.7977,-110.9947,10.2,1.9,Ml,,118.8,0.03593261,0.12,uu,uu60017472,2013-04-01T15:28:18.385Z,"17km NNE of West Yellowstone, Montana",earthquake
2013-03-31T14:27:50.400Z,-5.468,147.13,207,4.5,Mb,82,32.4,3.40641156,0.73,us,us2013nkap,2013-06-10T21:47:39.240Z,"139km N of Lae, Papua New Guinea",earthquake
2013-03-31T14:14:02.000Z,61.9425,-149.4,39.1,1.7,Ml,,,,0.68,ak,ak10684531,2013-04-03T16:00:56.652Z,"23km NNW of Fishhook, Alaska",earthquake
2013-03-31T14:12:58.400Z,35.5753,-118.536,3.2,1.4,Ml,22,61.2,0.09881468,0.17,ci,ci11276282,2013-04-01T18:42:02.756Z,"4km WSW of Bodfish, California",earthquake
2013-03-31T14:01:24.000Z,38.645,-80.8332,8.1,3.4,Mw,13,68.4,0.33237666,0.48,se,se033113a,2013-09-18T15:18:30.983Z,"11km WSW of Sutton, West Virginia",earthquake
2013-03-31T13:48:59.000Z,63.084,-150.6154,104.7,1,Ml,,,,0.39,ak,ak10686272,2013-04-03T16:01:11.512Z,"88km NNW of Talkeetna, Alaska",earthquake
2013-03-31T13:48:42.800Z,-28.442,62.588,10,4.5,Mb,31,79.2,8.98225453,0.72,us,us2013nkce,2013-06-10T21:58:59.800Z,"Southwest Indian Ridge",earthquake
2013-03-31T13:46:34.000Z,7.252,127.234,38.8,4.5,Mb,26,129.6,1.64840855,1.09,us,us2013nkcd,2013-06-10T21:59:01.254Z,"73km E of Santiago, Philippines",earthquake
2013-03-31T13:40:27.000Z,62.077,-152.1165,124,1.5,Ml,,,,0.55,ak,ak10686271,2013-04-03T16:01:11.498Z,"108km WSW of Talkeetna, Alaska",earthquake
2013-03-31T13:29:23.200Z,2.866,-84.25,45.4,4.3,Mb,68,97.2,6.35288569,0.64,us,us2013nkan,2013-06-10T21:47:37.660Z,"Off the coast of Central America",earthquake
2013-03-31T13:25:40.000Z,62.9323,-150.5721,93.2,1,Ml,,,,0.4,ak,ak10686270,2013-04-03T16:01:11.477Z,"71km NNW of Talkeetna, Alaska",earthquake
2013-03-31T13:07:42.500Z,18.798,-156.801,35.3,3.3,Ml,29,266.4,1.128284,0,us,us2013nkax,2013-12-25T08:50:24.421Z,"113km WSW of Hawaiian Ocean View, Hawaii",earthquake
2013-03-31T13:06:30.500Z,36.8205,-120.8758,2.4,2.7,Md,,118.8,0.04491576,0.12,nc,nc71963830,2013-04-02T04:01:11.708Z,"25km SW of South Dos Palos, California",earthquake
2013-03-31T13:05:59.800Z,36.8235,-120.8462,7.1,2.9,Ml,,97.2,0.02694946,0.1,nc,nc71963825,2013-06-10T21:59:02.760Z,"23km SW of South Dos Palos, California",earthquake
2013-03-31T12:57:16.500Z,34.1348,-116.9703,3.3,1,Ml,30,36,0.05389892,0.11,ci,ci11276234,2013-04-01T18:32:46.616Z,"13km NNE of Yucaipa, California",earthquake
2013-03-31T12:52:25.300Z,35.577,-118.5302,2,1,Ml,10,190.8,0.09881468,0.12,ci,ci11276226,2013-04-01T18:32:41.604Z,"3km WSW of Bodfish, California",earthquake
2013-03-31T12:48:21.500Z,-24.773,-179.887,486.7,4.5,Mb,133,72,4.7844272,1.02,us,usb000fwz9,2013-06-10T21:47:23.699Z,"South of the Fiji Islands",earthquake
2013-03-31T12:38:09.500Z,32.8913,-116.2735,11.9,2.1,Ml,66,46.8,0.12576414,0.24,ci,ci11276218,2013-04-01T18:31:01.405Z,"25km ENE of Pine Valley, California",earthquake
2013-03-31T12:21:06.392Z,39.3349,-119.8979,11.1548,1.28,ml,20,55,0.115,0.1361,nn,nn00407964,2013-03-31T15:56:16.744Z,"11km NE of Incline Village, Nevada",earthquake
2013-03-31T12:16:24.300Z,10.83,-62.166,110.8,4,Mw,52,122.4,1.38879543,1.18,us,usb000fwyu,2013-06-10T21:47:16.730Z,"31km NNE of Gueiria, Venezuela",earthquake
2013-03-31T12:14:03.076Z,38.6256,-118.4613,6.3717,1.17,ml,6,120,0.048,0.0925,nn,nn00407962,2013-04-01T05:33:24.211Z,"18km NE of Hawthorne, Nevada",earthquake
2013-03-31T12:05:25.900Z,38.8425,-122.8288,2.3,1,Md,,50.4,0.00898315,0.05,nc,nc71963790,2013-04-04T21:19:49.010Z,"9km WNW of Cobb, California",earthquake
2013-03-31T11:48:57.800Z,33.3402,-116.9018,9.1,1.9,Ml,67,57.6,0.03593261,0.23,ci,ci11276202,2013-04-01T18:30:31.342Z,"11km SSW of Aguanga, California",earthquake
2013-03-31T11:44:19.200Z,36.508,69.435,21.9,4.1,Mb,34,86.4,1.98797172,1.48,us,usb000fwyn,2013-06-10T21:47:08.718Z,"26km SSW of Taloqan, Afghanistan",earthquake
2013-03-31T11:31:08.600Z,39.384,-111.101,2.5,1.8,Ml,,72,0.07186522,0.18,uu,uu60017457,2013-04-01T20:24:50.354Z,"13km WNW of Huntington, Utah",earthquake
2013-03-31T11:17:43.000Z,63.5949,-149.9809,132.2,1,Ml,,,,0.38,ak,ak10686268,2013-04-03T16:01:09.435Z,"56km WNW of Cantwell, Alaska",earthquake
2013-03-31T11:01:34.200Z,35.5742,-118.5302,1.5,1.1,Ml,15,111.6,0.09881468,0.13,ci,ci11276194,2013-04-01T18:29:11.172Z,"3km WSW of Bodfish, California",earthquake
2013-03-31T10:40:12.000Z,60.1004,-152.9549,107.7,1.7,Ml,,,,0.46,ak,ak10686266,2013-04-03T16:01:09.411Z,"44km SSW of Redoubt Volcano, Alaska",earthquake
2013-03-31T10:33:01.000Z,61.2909,-152.1135,124.5,1.6,Ml,,,,0.46,ak,ak10684506,2013-04-03T16:00:55.634Z,"80km NNW of Nikiski, Alaska",earthquake
2013-03-31T10:29:54.000Z,54.3665,-161.7533,41.2,1.9,Ml,,,,0.53,ak,ak10686263,2013-04-03T16:01:08.341Z,"110km SE of Cold Bay, Alaska",earthquake
2013-03-31T10:23:03.000Z,61.0427,-152.4183,121.3,1.7,Ml,,,,0.59,ak,ak10686262,2013-04-03T16:01:08.327Z,"64km NNE of Redoubt Volcano, Alaska",earthquake
2013-03-31T10:23:01.000Z,54.9722,-161.0982,48.7,1.5,Ml,,,,0.21,ak,ak10686261,2013-04-03T16:01:08.314Z,"55km SW of Sand Point, Alaska",earthquake
2013-03-31T10:10:59.000Z,53.7765,-163.6771,13.2,2,Ml,,,,0.62,ak,ak10686260,2013-04-03T16:01:08.303Z,"120km S of False Pass, Alaska",earthquake
2013-03-31T10:02:56.500Z,19.4043,-155.3228,6.8,1.9,Ml,,39.6,0.00898315,0.1,hv,hv60484661,2013-04-04T21:24:11.932Z,"9km WSW of Volcano, Hawaii",earthquake
2013-03-31T09:52:12.000Z,-6.936,129.581,139.6,4.5,Mb,29,72,1.99785319,0.89,us,usb000fwy6,2013-06-10T21:47:06.619Z,"221km WNW of Saumlaki, Indonesia",earthquake
2013-03-31T09:49:28.200Z,35.5647,-118.5318,2.1,1.7,Ml,24,50.4,0.10779783,0.19,ci,ci11276154,2013-06-10T21:55:44.541Z,"4km SW of Bodfish, California",earthquake
2013-03-31T09:48:53.900Z,35.5767,-118.5263,0,1.9,Ml,34,46.8,0.09881468,0.23,ci,ci11276146,2013-04-01T18:28:46.116Z,"3km WSW of Bodfish, California",earthquake
2013-03-31T09:31:57.400Z,36.2595,-120.8147,7.5,1.3,Md,,136.8,0.04491576,0.07,nc,nc71963710,2013-04-05T00:54:07.011Z,"28km E of King City, California",earthquake
2013-03-31T09:22:23.200Z,48.4882,-123.7325,16,1,Md,,68.4,0.24254513,0.17,uw,uw60513412,2013-04-01T17:56:13.313Z,"12km N of Sooke, Canada",earthquake
2013-03-31T09:19:46.000Z,62.4108,-150.2648,14.3,1,Ml,,,,0.37,ak,ak10686257,2013-04-03T16:01:08.247Z,"12km NW of Talkeetna, Alaska",earthquake
2013-03-31T08:53:22.000Z,63.134,-152.0528,1.5,1.1,Ml,,,,0.7,ak,ak10684498,2013-04-03T16:00:54.613Z,"134km NW of Talkeetna, Alaska",earthquake
2013-03-31T08:37:22.900Z,40.5963,-124.0677,23,1.9,Md,,126,0.1706799,0.17,nc,nc71963690,2013-04-03T21:09:09.935Z,"5km NNE of Hydesville, California",earthquake
2013-03-31T08:27:56.000Z,60.5156,-151.1566,55.6,2.3,Ml,,,,0.68,ak,ak10684488,2013-04-03T16:00:54.573Z,"4km WSW of Ridgeway, Alaska",earthquake
2013-03-31T08:21:02.000Z,62.8583,-149.2456,64.5,1,Ml,,,,0.59,ak,ak10684487,2013-04-03T16:00:54.602Z,"61km SSW of Cantwell, Alaska",earthquake
2013-03-31T08:10:18.000Z,60.685,-152.0403,92.4,1.4,Ml,,,,0.46,ak,ak10686252,2013-04-03T16:01:07.225Z,"41km W of Nikiski, Alaska",earthquake
2013-03-31T08:05:57.000Z,59.9621,-148.5702,11.1,1.5,Ml,,,,0.49,ak,ak10684484,2013-04-03T16:00:53.557Z,"51km ESE of Seward, Alaska",earthquake
2013-03-31T07:46:18.100Z,38.916,141.905,35,5.3,Mb,396,115.2,3.23662997,0.81,us,usb000fwxu,2013-09-23T20:05:11.000Z,"23km SE of Ofunato, Japan",earthquake
2013-03-31T07:31:22.400Z,38.7608,-122.43,8.5,1.1,Md,,118.8,0.04491576,0.08,nc,nc71963670,2013-04-04T03:10:09.131Z,"12km ESE of Hidden Valley Lake, California",earthquake
2013-03-31T07:21:52.300Z,35.5722,-118.5293,2.4,1.4,Ml,21,93.6,0.09881468,0.15,ci,ci11276122,2013-04-01T18:27:50.986Z,"3km WSW of Bodfish, California",earthquake
2013-03-31T07:07:08.000Z,61.4795,-150.7674,62.7,1.3,Ml,,,,0.46,ak,ak10684466,2013-04-03T16:00:53.542Z,"43km W of Big Lake, Alaska",earthquake
2013-03-31T07:02:37.400Z,42.769,46.815,48.3,4.6,Mb,76,97.2,1.85771601,0.73,us,usb000fwxk,2013-06-10T21:47:01.865Z,"2km WNW of Gimry, Russia",earthquake
2013-03-31T07:00:35.000Z,61.6171,-149.9345,31.9,1,Ml,,,,0.56,ak,ak10684607,2013-04-03T16:00:57.759Z,"6km WSW of Houston, Alaska",earthquake
2013-03-31T06:59:55.000Z,61.0049,-152.3848,117.8,1.7,Ml,,,,0.48,ak,ak10684468,2013-04-03T16:00:57.745Z,"61km NNE of Redoubt Volcano, Alaska",earthquake
2013-03-31T06:59:53.100Z,36.19,-118.0272,0.6,1,Ml,12,79.2,0.1527136,0.19,ci,ci11276114,2013-04-01T18:27:45.973Z,"46km S of Lone Pine, California",earthquake
2013-03-31T06:22:27.000Z,61.4445,-151.5808,79.3,1.6,Ml,,,,0.49,ak,ak10684460,2013-04-03T16:00:52.527Z,"85km N of Nikiski, Alaska",earthquake
2013-03-31T06:21:16.000Z,63.4539,-149.2315,92.3,1,Ml,,,,0.41,ak,ak10684459,2013-04-03T16:01:06.202Z,"15km WNW of Cantwell, Alaska",earthquake
2013-03-31T06:14:36.500Z,36.6893,-121.3215,4.5,2.2,Md,,28.8,0.02694946,0.08,nc,nc71963640,2013-04-03T20:27:10.420Z,"14km SSE of Ridgemark, California",earthquake
2013-03-31T06:11:40.000Z,60.547,-145.2582,14.7,1.5,Ml,,,,0.49,ak,ak10684455,2013-04-03T16:00:52.515Z,"27km E of Cordova, Alaska",earthquake
2013-03-31T06:04:09.000Z,60.2123,-141.3049,0,1.3,Ml,,,,0.53,ak,ak10684454,2013-04-03T16:00:52.504Z,"64km ENE of Cape Yakataga, Alaska",earthquake
2013-03-31T05:58:08.200Z,35.5725,-118.5285,1.6,1.3,Ml,16,100.8,0.09881468,0.17,ci,ci11276098,2013-04-01T18:27:35.948Z,"3km WSW of Bodfish, California",earthquake
2013-03-31T05:46:55.000Z,51.8175,-174.2225,24.1,2.5,Ml,,,,0.34,ak,ak10684450,2013-04-03T16:01:05.173Z,"42km S of Atka, Alaska",earthquake
2013-03-31T05:40:12.100Z,-20.681,-69.017,106.3,4.3,Mb,39,90,0.56953189,1.1,us,usb000fwwx,2013-06-10T21:47:00.283Z,"128km ESE of Iquique, Chile",earthquake
2013-03-31T05:30:23.000Z,62.3006,-149.9401,5.3,2.2,Ml,,,,0.67,ak,ak10684437,2013-04-03T16:00:52.490Z,"9km ESE of Talkeetna, Alaska",earthquake
2013-03-31T05:29:18.800Z,33.9862,-116.6633,17.4,1.4,Ml,46,43.2,0.05389892,0.18,ci,ci11276082,2013-04-01T18:27:05.891Z,"10km SW of Morongo Valley, California",earthquake
2013-03-31T05:29:18.000Z,35.5692,-118.5313,1.8,1.4,Ml,19,104.4,0.10779783,0.16,ci,ci11276090,2013-04-01T18:26:55.869Z,"4km WSW of Bodfish, California",earthquake
2013-03-31T05:27:00.000Z,39.1512,-122.9775,8.8,1.4,Md,,176.4,0.11678099,0.07,nc,nc71963625,2013-04-04T06:14:09.380Z,"5km WSW of Upper Lake, California",earthquake
2013-03-31T05:21:48.000Z,35.5642,-118.5278,1.9,1.5,Ml,20,82.8,0.10779783,0.17,ci,ci11276074,2013-04-01T18:27:55.998Z,"4km SW of Bodfish, California",earthquake
2013-03-31T05:13:40.000Z,63.0331,-150.6106,108.8,3,Ml,,,,0.44,ak,ak10684427,2013-04-03T16:03:13.932Z,"83km NNW of Talkeetna, Alaska",earthquake
2013-03-31T04:58:04.000Z,63.5102,-147.3383,2.1,1.2,Ml,,,,0.57,ak,ak10684421,2013-04-03T16:00:51.449Z,"81km E of Cantwell, Alaska",earthquake
2013-03-31T04:50:38.000Z,63.5158,-147.3029,3.5,1.6,Ml,,,,0.57,ak,ak10684416,2013-04-03T16:00:51.434Z,"83km E of Cantwell, Alaska",earthquake
2013-03-31T04:45:34.600Z,37.957,142.659,43.9,4.3,Mb,19,183.6,3.81514501,0.5,us,us2013nkcb,2013-06-10T21:57:28.681Z,"129km ESE of Ishinomaki, Japan",earthquake
2013-03-31T04:39:43.900Z,32.926,-115.5227,16.6,2,Ml,27,75.6,0.06288207,0.44,ci,ci11276058,2013-04-01T18:27:20.926Z,"5km S of Brawley, California",earthquake
2013-03-31T04:32:47.000Z,60.9836,-150.8419,14.9,1.1,Ml,,,,0.65,ak,ak10684411,2013-04-03T16:00:50.420Z,"40km NE of Nikiski, Alaska",earthquake
2013-03-31T04:18:15.000Z,62.1433,-149.1055,33,1.1,Ml,,,,0.36,ak,ak10684409,2013-04-03T16:00:50.407Z,"38km E of Y, Alaska",earthquake
2013-03-31T04:14:41.000Z,61.9086,-152.1255,129.9,1.5,Ml,,,,0.43,ak,ak10686233,2013-04-03T16:01:05.147Z,"111km W of Willow, Alaska",earthquake
2013-03-31T04:02:06.000Z,60.1115,-151.5158,54.8,2.1,Ml,,,,0.5,ak,ak10684404,2013-04-03T16:00:50.392Z,"30km SSW of Cohoe, Alaska",earthquake
2013-03-31T04:01:05.000Z,51.4213,-179.2239,46.1,2,Ml,,,,0.4,ak,ak10686231,2013-04-03T16:01:05.134Z,"19km NNW of Amatignak Island, Alaska",earthquake
2013-03-31T03:31:17.000Z,59.9684,-152.4989,80.1,1.7,Ml,,,,0.61,ak,ak10684396,2013-04-03T16:00:49.348Z,"43km WNW of Anchor Point, Alaska",earthquake
